City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,7.4,95,93,14.13,TF,1710002220
1,thompson,55.7435,-97.8558,-12.91,72,20,1.03,CA,1710002747
2,college,64.8569,-147.8028,-14.82,78,100,0.0,US,1710002747
3,hawaiian paradise park,19.5933,-154.9731,19.46,97,100,3.6,US,1710002233
4,hasaki,35.7333,140.8333,1.22,49,1,8.13,JP,1710002748
5,yellowknife,62.456,-114.3525,-8.71,86,75,3.6,CA,1710002102
6,ushuaia,-54.8,-68.3,9.81,93,100,7.72,AR,1710002748
7,puerto natales,-51.7236,-72.4875,13.25,54,75,9.26,CL,1710002221
8,cabedelo,-6.9811,-34.8339,32.37,64,45,5.06,BR,1710002704
9,praia da vitoria,38.7333,-27.0667,20.14,68,75,8.47,PT,1710002233
10,puerto ayora,-0.7393,-90.3518,28.98,77,42,0.63,EC,1710002748
11,hermanus,-34.4187,19.2345,23.22,82,0,2.88,ZA,1710002226
12,siverek,37.755,39.3167,5.09,93,90,1.8,TR,1710002749
13,pariaman,-0.619,100.12,27.03,90,100,1.11,ID,1710002297
14,grytviken,-54.2811,-36.5092,7.32,72,40,1.44,GS,1710002231
15,olonkinbyen,70.9221,-8.7187,0.41,91,31,3.78,SJ,1710002231
16,longyearbyen,78.2186,15.6401,-2.09,80,75,8.75,SJ,1710002165
17,zemio,5.0314,25.1361,30.34,17,1,0.55,CF,1710002749
18,adamstown,-25.066,-130.1015,25.04,69,10,4.03,PN,1710002749
19,karkira,36.9292,6.5856,17.91,62,72,3.08,DZ,1710002749
20,aripuana,-9.1667,-60.6333,34.15,49,84,0.81,BR,1710002250
21,acireale,37.6125,15.1663,19.07,77,20,5.14,IT,1710002750
22,papatowai,-46.5619,169.4708,7.26,73,84,2.26,NZ,1710002272
23,port mathurin,-19.6833,63.4167,26.98,86,4,7.55,MU,1710002233
24,island harbour,50.724,-1.2758,12.31,80,100,4.02,GB,1710002750
25,west frankfort,37.8978,-88.9315,7.97,82,100,6.17,US,1710002750
26,waitangi,-43.9535,-176.5597,9.9,80,92,0.89,NZ,1710002751
27,port elizabeth,-33.918,25.5701,24.5,81,20,4.63,ZA,1710002525
28,tiksi,71.6872,128.8694,-32.52,100,76,1.15,RU,1710002230
29,port alfred,-33.5906,26.891,24.54,86,29,2.24,ZA,1710002248
30,constantia,44.1833,28.65,7.61,64,100,5.8,RO,1710001973
31,atafu village,-8.5421,-172.5159,29.37,74,16,6.74,TK,1710002249
32,asenovgrad,42.0167,24.8667,8.71,71,100,0.51,BG,1710002751
33,naze,28.3667,129.4833,12.51,59,95,5.25,JP,1710002747
34,ancud,-41.8697,-73.8203,14.52,68,42,3.28,CL,1710002293
35,dongsheng,39.8161,109.9776,0.83,22,41,3.55,CN,1710002752
36,bredasdorp,-34.5322,20.0403,20.78,69,0,3.34,ZA,1710002228
37,georgetown,5.4112,100.3354,27.96,79,20,2.68,MY,1710002025
38,kapa'a,22.0752,-159.319,21.17,81,20,8.75,US,1710002752
39,lakatoro,-16.0999,167.4164,26.69,87,95,4.81,VU,1710002752
40,invercargill,-46.4,168.35,4.45,94,78,1.79,NZ,1710002752
41,qiancheng,27.185,109.7654,9.96,88,97,1.16,CN,1710002752
42,rice lake,45.5061,-91.7382,0.18,53,0,8.23,US,1710002752
43,pasni,25.2631,63.471,22.99,80,100,4.09,PK,1710002753
44,kanggye,40.9695,126.5852,-4.51,43,0,1.55,KP,1710002753
45,ouro preto do oeste,-10.7481,-62.2158,30.12,70,100,1.61,BR,1710002733
46,blackmans bay,-43.0167,147.3167,25.07,57,95,1.71,AU,1710002753
47,kailua-kona,19.6406,-155.9956,23.11,85,0,2.06,US,1710002081
48,aasiaat,68.7098,-52.8699,-18.64,93,100,1.3,GL,1710002298
49,klyuchi,52.2667,79.1667,-1.44,95,95,5.84,RU,1710002232
50,jamestown,42.097,-79.2353,10.77,95,100,7.2,US,1710001941
51,binzhou,37.3667,118.0167,5.81,45,0,3.62,CN,1710002754
52,zaragoza,41.6561,-0.8773,13.34,53,75,4.63,ES,1710002754
53,qarazhal,48.0078,70.7903,1.94,98,99,7.7,KZ,1710002754
54,wailua homesteads,22.0669,-159.378,20.42,82,20,8.75,US,1710002252
55,coahuayana de hidalgo,18.7,-103.6583,29.97,34,6,2.36,MX,1710002314
56,huruta,8.15,39.35,18.38,76,50,3.96,ET,1710002754
57,haiku-pauwela,20.9219,-156.3051,22.8,77,40,6.69,US,1710002252
58,tazovsky,67.4667,78.7,-27.59,100,67,4.5,RU,1710002286
59,bethel,41.3712,-73.414,5.86,78,100,5.14,US,1710002222
60,avarua,-21.2078,-159.775,25.03,78,100,3.09,CK,1710002230
61,luwuk,-0.9516,122.7875,26.04,86,93,2.56,ID,1710002755
62,ola,59.5833,151.2833,-11.03,94,100,3.24,RU,1710002755
63,tyup,42.7276,78.3648,-4.17,59,99,2.42,KG,1710002755
64,phalaborwa,-23.943,31.1411,30.6,40,8,6.01,ZA,1710002755
65,lady frere,-31.7031,27.2329,22.08,65,0,4.35,ZA,1710002755
66,tazacorte,28.629,-17.9293,21.75,70,20,3.09,ES,1710002296
67,puerto aysen,-45.4,-72.7,10.32,99,100,2.33,CL,1710002311
68,west end,26.6833,-78.9667,26.99,87,98,7.44,BS,1710002756
69,yaren,-0.5472,166.916,28.08,82,75,6.31,NR,1710002301
70,iqaluit,63.7506,-68.5145,-27.95,68,75,0.0,CA,1710002226
71,port lincoln,-34.7333,135.8667,23.49,66,37,3.2,AU,1710002756
72,punta arenas,-53.15,-70.9167,11.06,62,75,22.64,CL,1710002241
73,luderitz,-26.6481,15.1594,21.47,72,7,5.07,NA,1710002317
74,castillos,-34.1667,-53.8333,29.52,51,62,4.82,UY,1710002757
75,edinburgh of the seven seas,-37.0676,-12.3116,17.95,80,11,7.56,SH,1710002757
76,la gi,10.6667,107.7833,25.78,81,95,9.47,VN,1710002757
77,griffith,41.5284,-87.4237,6.73,78,100,4.12,US,1710002757
78,zvornik,44.3869,19.1014,11.36,63,98,1.03,BA,1710002757
79,uturoa,-16.7333,-151.4333,28.42,77,100,5.09,PF,1710002757
80,tezu,27.9167,96.1667,18.22,40,23,2.14,IN,1710002757
81,arraial do cabo,-22.9661,-42.0278,29.98,83,75,7.72,BR,1710002272
82,vizinga,61.0749,50.1031,-18.6,100,99,1.24,RU,1710002758
83,albany,42.6001,-73.9662,5.57,72,100,2.24,US,1710002547
84,thunder bay,48.4001,-89.3168,-3.01,59,40,5.66,CA,1710002758
85,paramonga,-10.6667,-77.8333,25.55,74,97,4.47,PE,1710002758
86,salavan,15.7167,106.4167,24.9,81,95,1.48,LA,1710002758
87,kenai,60.5544,-151.2583,-9.95,90,0,2.06,US,1710002758
88,utrik,11.2278,169.8474,26.28,73,35,12.08,MH,1710002247
89,oamaru,-45.0784,170.9801,6.32,86,62,3.65,NZ,1710002758
90,chegdomyn,51.1167,133.0167,-21.34,100,84,0.64,RU,1710002759
91,richards bay,-28.783,32.0377,23.89,87,6,3.14,ZA,1710002242
92,plettenberg bay,-34.0527,23.3716,18.25,85,10,1.5,ZA,1710002759
93,kiunga,-6.1219,141.2906,24.09,100,100,1.34,PG,1710002759
94,salgareda,45.705,12.4883,11.31,81,99,2.68,IT,1710002759
95,qaqortoq,60.7167,-46.0333,-9.86,84,91,1.87,GL,1710002303
96,isafjordur,66.0755,-23.124,4.0,78,74,2.61,IS,1710002238
97,goz beida,13.95,20.55,33.91,10,3,4.24,TD,1710002759
98,trujillo,-8.116,-79.03,23.98,83,0,5.14,PE,1710002499
99,fort st. john,56.2499,-120.8529,-1.06,80,75,3.6,CA,1710002760
100,ulladulla,-35.35,150.4667,18.85,84,0,2.74,AU,1710002283
101,selfoss,63.9331,-20.9971,5.58,77,100,5.23,IS,1710002296
102,talnakh,69.4865,88.3972,-15.44,93,100,2.85,RU,1710002221
103,west island,-12.1568,96.8225,27.99,78,40,7.72,CC,1710002760
104,mayya,61.7333,130.2811,-25.38,100,99,0.96,RU,1710002760
105,riberalta,-10.9833,-66.1,31.11,70,75,3.09,BO,1710002761
106,wamba,8.9333,8.6,33.92,39,69,2.7,NG,1710002761
107,antsiranana,-12.2787,49.2917,24.99,92,78,3.41,MG,1710002311
108,grand-popo,6.2804,1.8225,29.25,73,99,6.35,BJ,1710002761
109,manokwari,-0.8667,134.0833,25.59,88,99,4.71,ID,1710002761
110,princeville,45.7668,-61.2985,6.41,56,0,3.09,CA,1710002761
111,pelabuhanratu,-6.9875,106.5514,26.55,78,100,2.19,ID,1710002761
112,ribeira grande,38.5167,-28.7,18.76,77,40,13.89,PT,1710002221
113,chonchi,-42.6128,-73.8092,16.73,53,47,1.32,CL,1710002235
114,bayganin,48.6947,55.8742,-8.82,87,10,3.06,KZ,1710002280
